State,Latitude,Longitude,Population
Alabama,32.7794,-86.8287,4888949
Alaska,64.0685,-152.2782,738068
Arizona,34.2744,-111.6602,7123898
Arkansas,34.8938,-92.4426,3020327
California,37.1841,-119.4696,39776830
Colorado,38.9972,-105.5478,5684203
Connecticut,41.6219,-72.7273,3588683
Delaware,38.9896,-75.5050,971180
District of Columbia,38.9101,-77.0147,703608
Florida,28.6305,-82.4497,21312211
Georgia,32.6415,-83.4426,10545138
Hawaii,20.2927,-156.3737,1426393
Idaho,44.3509,-114.6130,1753860
Illinois,40.0417,-89.1965,12768320
Indiana,39.8942,-86.2816,6699629
Iowa,42.0751,-93.4960,3160553
Kansas,38.4937,-98.3804,2918515
Kentucky,37.5347,-85.3021,4472265
Louisiana,31.0689,-91.9968,4682509
Maine,45.3695,-69.2428,1341582
Maryland,39.0550,-76.7909,6079602
Massachusetts,42.2596,-71.8083,6895917
Michigan,44.3467,-85.4102,9991177
Minnesota,46.2807,-94.3053,5628162
Mississippi,32.7364,-89.6678,2982785
Missouri,38.3566,-92.4580,6135888
Montana,47.0527,-109.6333,1062330
Nebraska,41.5378,-99.7951,1932549
Nevada,39.3289,-116.6312,3056824
New Hampshire,43.6805,-71.5811,1350575
New Jersey,40.1907,-74.6728,9032872
New Mexico,34.4071,-106.1126,2090708
New York,42.9538,-75.5268,19862512
North Carolina,35.5557,-79.3877,10390149
North Dakota,47.4501,-100.4659,755238
Ohio,40.2862,-82.7937,11694664
Oklahoma,35.5889,-97.4943,3940521
Oregon,43.9336,-120.5583,4199563
Pennsylvania,40.8781,-77.7996,12823989
Rhode Island,41.6762,-71.5562,1061712
South Carolina,33.9169,-80.8964,5088916
South Dakota,44.4443,-100.2263,877790
Tennessee,35.8580,-86.3505,6782564
Texas,31.4757,-99.3312,28704330
Utah,39.3055,-111.6703,3159345
Vermont,44.0687,-72.6658,623960
Virginia,37.5215,-78.8537,8525660
Washington,47.3826,-120.4472,7530552
West Virginia,38.6409,-80.6227,1803077
Wisconsin,44.6243,-89.9941,5818049
Wyoming,42.9957,-107.5512,573720
